Year,Month,Model_Name,Models_Created,Algorithm_Type,Data_Size_GB,Training_Time_Hours,Accuracy,Precision,Recall,F1_Score,Validation_Split,Epochs,Batch_Size,Optimizer,Investment_Million_USD,Public_Acceptance,Investment_in_Billion_USD,Public_Acceptance_Percentage,Number_of_Employees,Tech_Advancements,Industry_Adoption,Regulatory_Environment,Public_Awareness
2016,3,Model_70,4.0,Supervised,221.3454437219029,84.1719938162299,0.8225224723883435,0.8921188019763817,0.4866934534430596,0.8055586767934619,0.3,138,16.0,RMSprop,8604.726934815937,0.69,8.604726934815938,57.53585529422985,3,Moderate,Moderate,Strict,Moderate
2020,11,Model_68,1.0,Supervised,500.089690038396,24.67712345677622,0.4492835560522765,0.8005203453104018,0.5810298233117709,0.7271059842809003,0.26,97,64.0,SGD,21909.01427960373,0.79,21.90901427960373,98.02239123561407,12,High,Low,Flexible,Very High
2020,11,Model_63,4.0,Unsupervised,81.46530207393968,111.9374750650406,0.8257239424115443,0.7798373368978958,0.7232758309458339,0.6828483257417813,0.3,254,256.0,Adamax,38858.49486380984,0.83,38.85849486380985,96.68378692161168,16,High,Low,Flexible,Very High
2017,1,Model_58,6.0,Reinforcement,73.57036896810229,134.2824479086764,0.744988878711012,0.55271400371889,0.4758008735717044,0.5697699548209845,0.13,224,32.0,Adamax,3414.704406403222,0.66,3.414704406403222,62.45468713578185,2,High,High,Strict,High
2014,7,Model_23,3.0,Reinforcement,1091.422264744667,27.03129488853653,0.7522659879406088,0.9889736645739657,0.6675603026558754,0.8314624356253124,0.12,222,128.0,RMSprop,456.7551156776111,0.57,0.4567551156776111,27.66956129095508,0,Low,Low,Very Strict,Low
2013,4,Model_44,4.0,Reinforcement,442.0020525625127,36.31378057437645,0.697704863812879,0.8027066927582527,0.5775808555155774,0.9046340086446913,0.24,225,256.0,Adamax,301.7979548448284,0.42,0.3017979548448284,72.16981660551053,0,High,High,Moderate,High
2017,7,Model_83,10.0,Reinforcement,444.3240814825841,20.53141476032738,0.976696761352302,0.5547980544868627,0.85669845523997,0.9399929485917211,0.23,410,256.0,Adam,5174.725089234027,0.69,5.174725089234027,61.39193517323218,3,High,High,Strict,High
2017,3,Model_95,9.0,Supervised,416.3203907629222,51.27861880255777,0.9358881241916692,0.6562796732899003,0.6177347507872071,0.4682542384477313,0.16,86,32.0,RMSprop,5720.558608895246,0.71,5.720558608895246,83.76035675438749,3,High,High,Moderate,High
2012,12,Model_44,6.0,Reinforcement,1170.279664594827,13.85282725988974,0.8863322520279853,0.8135695028179526,0.7197758544220628,0.6569215044493236,0.19,49,512.0,RMSprop,797.7368418108865,0.52,0.7977368418108866,85.83002685196476,0,High,Low,Flexible,High
2015,11,Model_52,7.0,Unsupervised,897.3156623154512,35.0363268165868,0.792405262426383,0.3789296186541105,0.6995758446562488,0.6795220916548148,0.14,357,512.0,RMSprop,211.0715379780129,0.63,0.2110715379780129,63.90466982884809,0,High,High,Strict,High
2014,5,Model_67,0.0,Supervised,319.8288347190086,35.60980258616092,0.726439720809961,0.6479145460635642,0.5607437279150744,0.5823445251074997,0.18,299,128.0,Adam,868.7922309135386,0.62,0.8687922309135385,43.12661154545998,0,Low,Low,Very Strict,Low
2011,5,Model_28,6.0,Reinforcement,388.6591459964685,40.21332534076565,0.8396268885584013,0.7775793062318661,0.6001876966308581,1.0,0.29,73,16.0,RMSprop,388.680436969144,0.4,0.388680436969144,79.9437148129944,0,High,Low,Moderate,High
2017,2,Model_67,2.0,Supervised,745.869294656807,76.93642749258038,0.891704459369945,0.8672020402650517,0.9826067095245027,0.7988571064700025,0.17,482,32.0,Adam,6359.916047922254,0.73,6.359916047922254,51.28253860870262,3,Moderate,Moderate,Strict,Moderate
2021,11,Model_78,3.0,Unsupervised,159.8778261794522,29.29806591539363,0.8826040055975637,0.6578004621715466,0.8161045561589266,0.7406768977573471,0.14,44,512.0,RMSprop,75300.45603943714,0.78,75.30045603943714,61.19297618486821,25,High,Low,Strict,High
2015,10,Model_18,13.0,Unsupervised,546.3144368458462,80.75190826307146,0.8223422682425571,0.7595027793708758,0.7456795091172348,0.7483706675415622,0.15,318,256.0,Adam,145.4053680073321,0.62,0.1454053680073321,41.59950380941989,0,Low,Low,Very Strict,Moderate
2011,12,Model_27,5.0,Reinforcement,705.0778202750772,40.31945646146471,0.7368530733504176,0.9189596854224231,0.7847975469762261,0.845937924380217,0.2,429,512.0,RMSprop,892.3482153742187,0.39,0.8923482153742187,50.75743323856114,0,Low,Low,Strict,Low
2021,2,Model_51,2.0,Unsupervised,186.6171397959777,16.59818408602954,0.578310975532995,0.9128394318435605,0.5527366535271655,0.7362600971778884,0.2,155,128.0,Adam,36828.84216647918,0.8,36.82884216647918,67.39857620718975,17,High,Low,Strict,High
2014,4,Model_60,,Supervised,246.4910236566303,74.24721249387231,0.8762962853518862,0.6750227995484869,0.5390674835494902,0.5204198804031469,0.12,360,16.0,Adam,235.6757990989622,0.57,0.2356757990989622,96.69417649409077,0,High,High,Flexible,High
2010,4,Model_74,6.0,Unsupervised,443.8417861986635,29.82773173411325,0.5478095538074831,0.9002919426678277,0.3566993050683074,0.7301085457912913,0.12,152,512.0,RMSprop,904.6306513456555,0.45,0.9046306513456555,100.0,0,High,Low,Flexible,High
2021,4,Model_49,4.0,Reinforcement,167.5543583285652,68.47364584242064,0.7484637272409069,0.3759576564392383,0.7659416959876515,0.6388099738580997,0.15,94,64.0,Adam,19233.78358966693,0.89,19.23378358966693,100.0,12,High,Low,Flexible,Very High
2019,6,Model_15,8.0,Supervised,576.2810174156623,63.80823573752566,0.9470177722527523,0.8505610741795242,0.8285167226797445,0.6536925681823517,0.25,492,64.0,RMSprop,69106.71295721919,0.85,69.10671295721919,63.10707814766205,19,High,Low,Strict,High
2015,2,Model_83,10.0,Reinforcement,175.7963955666924,26.83502528629291,0.4598263498147009,0.5721105801685122,0.473041769283558,0.8208440998798763,0.19,42,16.0,RMSprop,224.0540898453456,0.61,0.2240540898453456,43.81554196145424,0,Low,Low,Very Strict,Moderate
2022,6,Model_73,9.0,Supervised,533.0390489998533,23.33682177176885,0.7046094561263186,0.615188831577162,0.7313297896493748,0.8376323354531406,0.12,98,128.0,RMSprop,21361.6430634778,0.87,21.3616430634778,87.51627250114505,14,High,Low,Flexible,Very High
2021,7,Model_68,4.0,Reinforcement,258.0220504956287,28.96971607527474,1.0,0.6935012482856491,0.8907005194159056,0.6981633556196696,0.24,15,16.0,RMSprop,98412.87723965613,0.9,98.41287723965613,54.6646171720311,28,High,Low,Strict,High
2018,11,Model_15,3.0,Unsupervised,289.4532809264504,24.07919124791988,0.6921383710728329,0.8710725039582259,0.9603704644538739,0.8149115914376259,0.1,24,256.0,RMSprop,1267.634206959737,0.74,1.267634206959737,67.27669238379735,1,High,High,Strict,High
2010,10,Model_51,6.0,Unsupervised,146.0450810503338,24.5760659728161,0.9038998878129132,0.7766668457469371,0.7947257289808787,0.6064518442594371,0.22,445,128.0,SGD,338.6017894099697,0.43,0.3386017894099697,93.4235071092284,0,High,Low,Flexible,High
2020,3,Model_48,7.0,Reinforcement,707.7599938746082,11.16795407897316,0.908663783232334,0.5593580222080524,0.6417775822247445,0.5832511702606595,0.17,280,128.0,RMSprop,98559.03291204145,0.78,98.55903291204146,56.19414887738505,26,High,Low,Strict,High
2020,11,Model_72,5.0,Reinforcement,235.2744397100852,72.17398298254426,0.6745161728833475,1.0,0.8656008823478919,0.746919297191999,0.11,464,256.0,Adamax,40111.88632059598,0.89,40.11188632059598,76.09279765305604,16,High,Low,Moderate,Very High
2019,12,Model_1,4.0,Reinforcement,1239.290250799426,75.95722363744197,0.6940916169718212,0.603765629687154,0.6669649839068725,0.8228181876539514,0.12,141,64.0,SGD,39140.00578820371,0.74,39.14000578820372,95.35886289547868,14,High,Low,Flexible,High
2021,8,Model_7,6.0,Reinforcement,352.6961015244469,119.1539619898519,0.7005814703557768,0.8374906642081075,0.6426145949538418,0.7521988902565506,0.25,431,32.0,Adam,10323.83151275077,0.85,10.32383151275077,41.14666076751518,9,Moderate,Moderate,Very Strict,High
2021,2,Model_53,5.0,Reinforcement,961.4964186991625,64.25175638956033,0.6233199556716101,0.4505993225546311,0.9232484781695238,0.7657454802692251,0.15,271,128.0,Adam,65646.68044415665,0.86,65.64668044415664,63.18182566433822,23,High,Low,Strict,High
2012,11,Model_31,5.0,Unsupervised,497.6806903000432,-14.03596471331112,1.0,0.6002001257917122,0.6996294356717829,0.7692875251003374,0.15,164,512.0,SGD,606.0113433122953,0.5,0.6060113433122952,84.50498120543972,0,High,Low,Moderate,High
2021,8,Model_18,1.0,Reinforcement,621.4967956951743,15.04531584176003,0.7601916608645615,0.7483331297819342,0.8242659170218469,0.9512082355557949,0.2,257,256.0,RMSprop,74343.82694522635,0.83,74.34382694522635,62.82813492785415,24,High,Low,Strict,High
2016,11,Model_12,6.0,Supervised,506.9103442162773,8.860838770448442,0.8377268119361606,0.6331693524966796,0.8104253719981666,0.6987948544370928,0.13,123,512.0,SGD,7495.087744237982,0.77,7.495087744237982,76.50649466657423,3,High,High,Moderate,High
2013,5,Model_48,4.0,Supervised,146.7283696041015,94.90769570051356,0.540447281543661,0.4606050600438265,0.7477161396704752,0.6400502678346947,0.29,335,128.0,SGD,415.2487816910108,0.56,0.4152487816910108,78.28542838740847,0,High,High,Moderate,High
2018,2,Model_30,4.0,Unsupervised,164.8995115663951,74.92058732758593,0.5595284053587697,0.7569486336143766,0.6946592044443809,0.7993880238350735,0.18,415,16.0,RMSprop,7448.114979047948,0.74,7.448114979047948,85.8080059326082,4,High,High,Flexible,High
2012,7,Model_97,2.0,Reinforcement,897.1841208750648,112.7671781898199,0.6357349165229271,0.7086644838906386,0.888362310867788,0.6795181684097434,0.19,283,256.0,Adamax,325.4446911347859,0.57,0.3254446911347859,50.97466379381726,0,Low,Low,Strict,Low
2014,2,Model_7,5.0,Unsupervised,476.4875312708256,21.25565996471683,0.6447769563770576,0.9336638857090883,0.5667716692231615,0.9092246623088371,0.11,98,256.0,RMSprop,484.4655911815562,0.67,0.4844655911815562,72.82946941555535,0,High,High,Moderate,High
2012,6,Model_92,4.0,Unsupervised,175.115682302789,34.75106357433089,0.7983703765746316,0.7137929780599331,0.7508743217086793,0.559140005408574,0.21,392,16.0,SGD,619.6775359787786,0.51,0.6196775359787786,64.49867829156274,0,High,Low,Strict,High
2016,10,Model_3,9.0,Reinforcement,270.475864505507,78.80672274153893,0.7424527204602669,1.0,0.7248572603126647,0.9035367268148533,0.26,185,128.0,SGD,7051.837254582584,0.66,7.051837254582584,85.73856049259307,3,High,High,Flexible,High
2014,3,Model_63,4.0,Supervised,432.2770238273749,10.94695143491695,0.6526675138824515,0.8099848677112823,0.7531064883377125,0.7093448877540721,0.18,138,128.0,Adam,674.5536064226453,0.56,0.6745536064226453,69.55712591860016,0,High,High,Strict,High
2018,9,Model_6,0.0,Supervised,436.8954871566435,39.34687747451645,0.7928605192756747,0.5585505937850135,0.4385232210149413,0.8399806784438062,0.13,454,128.0,Adamax,6452.03480522568,0.67,6.452034805225679,96.92252604835555,4,High,High,Flexible,High
2016,3,Model_95,11.0,Reinforcement,555.5035792604671,18.85647384586781,0.7020163518066536,0.605256666830151,0.8572299127612311,0.7958361138710681,0.11,342,512.0,Adam,5214.005680510993,0.64,5.214005680510994,85.37637110392411,2,High,High,Flexible,High
2011,11,Model_15,8.0,Reinforcement,315.2994504832341,47.76602608208329,0.768262202396437,0.832390856579706,0.6333908383798885,0.6494986275889951,0.17,412,64.0,SGD,971.9593874637139,0.43,0.9719593874637139,59.07202001841244,0,Low,Low,Strict,Low
2013,12,Model_71,7.0,Reinforcement,217.6348011354756,48.74645185539615,0.6969333924443074,0.7492331876710193,0.9191715791070645,0.7801633864378069,0.27,75,128.0,Adam,777.9887504381501,0.51,0.7779887504381501,22.37824491899662,0,Low,Low,Very Strict,Low
2018,12,Model_43,6.0,Reinforcement,182.4689001901114,16.07968207485325,0.9157153733983423,0.9775304341523073,0.5725631554152466,0.6719091307176803,0.12,105,64.0,RMSprop,9895.589762942482,0.69,9.895589762942482,79.63860638716058,4,High,High,Moderate,High
2021,3,Model_94,3.0,Reinforcement,1098.687099475602,30.3335125699313,1.0,0.6497198368425855,0.537477473087213,0.722758648034435,0.29,442,64.0,SGD,74370.73169693937,0.85,74.37073169693937,64.8147177487661,24,High,Low,Strict,High
2011,5,Model_91,5.0,Supervised,692.5821472794714,54.8292917870257,0.8867810962289125,0.6305489165304088,0.6078916864229297,0.7518322942949449,0.27,442,128.0,RMSprop,415.6178570009455,0.43,0.4156178570009456,90.45844530369882,0,High,Low,Flexible,High
2019,7,Model_81,6.0,Unsupervised,185.4512485244492,105.8436481999152,0.7939966822055459,0.6321590971472749,0.7155969955418268,0.9749322779884877,0.11,234,16.0,RMSprop,65987.86536383582,0.71,65.98786536383582,54.65486786321673,19,High,Low,Strict,High
2018,8,Model_18,3.0,Unsupervised,767.8557171783355,14.40010322335644,0.6021793263289363,0.4624123227218342,0.6027184669705712,0.8730568263862869,0.12,270,512.0,Adam,8928.479099594346,0.67,8.928479099594346,63.59051955561093,4,High,High,Strict,High
2019,12,Model_22,5.0,Supervised,107.1306254094737,20.80574228677115,0.9077385104551491,0.8017652173087685,0.658517415094762,0.7428466547518922,0.19,132,256.0,Adam,72826.03732081913,0.84,72.82603732081913,66.41450740230854,20,High,Low,Strict,High
2014,11,Model_61,8.0,Reinforcement,379.6745159257291,-2.837034603957747,0.69659487843384,0.676305009807772,0.4766580155698847,0.8528770921132279,0.12,364,16.0,SGD,720.5687304691064,0.52,0.7205687304691064,64.08245085602516,0,High,High,Strict,High
2011,7,Model_61,6.0,Reinforcement,405.6850178206467,30.54786762689685,0.6200382720870745,0.8782558589088916,0.9919791748063033,0.6440800889506652,0.29,50,16.0,Adam,976.9065109782568,0.48,0.9769065109782569,49.67143811190871,0,Low,Low,Very Strict,Low
2013,9,Model_53,7.0,Unsupervised,91.030625919274,47.14814832825066,0.7726352513934591,0.6899501562374497,0.5862200296856304,0.4966488610238953,0.1,475,512.0,SGD,217.9943846380709,0.58,0.2179943846380709,66.87896603217875,0,High,High,Strict,High
2021,5,Model_26,4.0,Reinforcement,180.3880094493744,105.746909360029,0.8734655283813614,0.6667998843619948,0.7257290927250464,0.6312237638733128,0.29,248,256.0,SGD,20666.30619116552,0.93,20.66630619116552,57.58091924089803,13,High,Low,Strict,High
2021,10,Model_91,3.0,Unsupervised,166.0146156675741,20.46299288429612,0.8167649316486201,0.6020077873568627,0.5655312467641096,0.9786752069076847,0.23,71,512.0,SGD,56795.21917801699,0.83,56.79521917801699,93.08767065007115,21,Very High,Low,Flexible,Very High
2016,11,Model_40,8.0,Supervised,308.7828490159602,55.71426775625562,0.6609060292678642,0.6778165348302196,0.7770499005619179,0.8162259340606086,0.21,157,32.0,Adamax,6341.139593291745,0.61,6.341139593291745,62.51614717557981,2,High,High,Strict,High
2021,3,Model_88,1.0,Supervised,654.9558024931343,45.28868614207057,0.7962526405396823,0.8819889270389415,0.8287739497600705,0.6280667078420668,0.23,86,32.0,SGD,39225.94478674589,0.76,39.22594478674588,83.67319787960861,18,High,Low,Moderate,Very High
2022,6,Model_8,5.0,Unsupervised,160.7952070329345,40.32478603865657,0.8434494996529176,0.6641609524374582,0.5875615311852351,0.5476129176217163,0.13,83,128.0,Adamax,44933.45930170938,0.87,44.93345930170938,87.97972396045932,21,High,Low,Flexible,Very High
2017,5,Model_21,6.0,Reinforcement,460.4265647849836,69.4922266461181,0.6442185932663589,0.7694663558778768,0.7310605938934517,0.6755574908785108,0.25,117,16.0,Adamax,4708.609990326553,0.72,4.708609990326553,76.19041633598943,3,High,High,Moderate,High
2012,12,Model_93,5.0,Unsupervised,576.7362174313507,64.80256537470916,0.887411231286073,0.748593841068454,0.6157902857503171,0.5581903587155481,0.15,449,256.0,SGD,242.9107942476346,0.56,0.2429107942476346,59.66484335048993,0,Low,Low,Strict,Low
2010,4,Model_43,5.0,Unsupervised,643.5378077490536,70.98477482269737,0.8799771637467078,0.5386100974802525,0.5882128629204715,0.877001925383647,0.26,26,512.0,RMSprop,997.1599818706768,0.45,0.9971599818706768,58.18228675351913,0,Low,Low,Strict,Low
2013,12,Model_21,5.0,Supervised,337.8984883816897,38.91996853108876,0.7606359374127164,0.6420529821735633,0.8145799178949663,0.4141938371491315,0.27,269,512.0,SGD,521.3827114348989,0.51,0.5213827114348989,78.18285152186641,0,High,High,Moderate,High
2011,2,Model_3,5.0,Unsupervised,187.1260017248947,38.1758954010769,0.71497315091235,0.674926920569911,0.8065029087724817,0.8824827688081679,0.19,121,16.0,Adam,255.9880912261759,0.43,0.2559880912261759,41.5705412972655,0,Low,Low,Very Strict,Low
2017,7,Model_31,6.0,Supervised,247.0131186496894,76.44203624120604,0.486755167687986,0.6437239819497997,0.8610871968725525,0.92576416702902,0.19,441,16.0,SGD,3372.851454669706,0.72,3.372851454669706,97.95507159531826,2,High,High,Flexible,High
2013,5,Model_27,5.0,Supervised,423.7188456361772,45.93993862837391,0.8905742344091222,0.6865938590482886,0.7555869258492267,0.7617667461360949,0.14,416,16.0,RMSprop,856.6938742581812,0.46,0.8566938742581811,64.25108588142882,0,,High,Strict,High
2011,4,Model_27,5.0,Supervised,746.048851166984,38.62572012981531,0.8815789795830961,0.7102912907058967,0.7316036939534959,0.5499082808674801,0.22,94,256.0,Adamax,721.0943100155436,0.41,0.7210943100155436,100.0,0,High,Low,Flexible,High
2015,12,Model_73,8.0,Unsupervised,524.4532619236115,66.93259155053235,0.3935042662440729,0.5527809890996843,0.7733294303635704,0.7000848338931513,0.12,195,64.0,SGD,210.9434254537959,0.63,0.2109434254537959,83.21228876409603,0,High,High,Moderate,High
2015,8,Model_57,3.0,Unsupervised,798.8614141969185,71.97116379435991,0.6923580422352535,0.6716164874375962,0.4992078939874126,0.754112573580918,0.16,138,16.0,Adam,733.4695754181818,0.6,0.7334695754181818,100.0,0,High,High,Flexible,High
2019,9,Model_97,5.0,Reinforcement,595.0060388789185,20.45730164506975,0.8077890703582379,0.4916557844869639,0.6502888410282057,0.7611405861899396,0.13,444,16.0,Adamax,63561.48376581111,0.78,63.56148376581111,40.75160654632381,18,High,Low,Very Strict,High
2013,9,Model_33,3.0,Reinforcement,815.2491518418205,86.65309109343804,0.573384087801192,0.5356778892239962,0.6543734131603616,0.6909591419483763,0.28,364,512.0,Adamax,878.0371305787639,0.46,0.878037130578764,81.50113148264425,0,High,High,Moderate,High
2015,3,Model_90,3.0,Supervised,253.7883087822335,21.458743919051,0.8035276470378303,0.8602933896100831,0.7260882361673303,0.7422234681092916,0.24,324,512.0,RMSprop,803.4412959489682,0.61,0.8034412959489682,83.24233449625031,0,High,High,Moderate,High
2022,3,Model_92,7.0,Reinforcement,386.6313433281114,19.18481387560129,0.5399052495056449,0.4163197992354303,1.0,0.7043460601249344,0.25,143,16.0,Adamax,45169.32750474925,0.86,45.16932750474925,95.54737124126703,21,High,Low,Flexible,Very High
2011,5,Model_44,4.0,Reinforcement,337.3737497365228,51.10002642787664,0.8242410053345447,0.6309107019060135,0.69612813236137,0.9203554547655661,0.26,414,64.0,Adamax,408.1448929867378,0.39,0.4081448929867378,74.60494431104364,0,,Low,,High
2019,5,Model_43,4.0,Supervised,123.4554169867935,89.6929485276298,0.7593575957796568,0.5492976078352851,0.7858386888867748,0.8265407628734981,0.13,476,16.0,SGD,72799.51403112948,0.82,72.79951403112948,82.95741578286184,20,Very High,Low,Moderate,High
2021,10,Model_31,2.0,Supervised,629.1253782039839,21.69743498206437,0.5045556541062819,0.6620410667870933,0.8746758841800979,0.8235953532731983,0.27,46,32.0,RMSprop,76289.64557235932,0.83,76.28964557235932,41.53036864701627,25,High,Low,Very Strict,
2011,2,Model_65,6.0,Unsupervised,807.0262665019787,93.03111095602023,0.7050826674056099,0.8137210336342676,0.5642932387943319,1.0,0.23,93,32.0,SGD,671.4420570133559,0.42,0.6714420570133559,46.79021444971404,0,Low,Low,Very Strict,Low
2019,1,Model_84,3.0,Supervised,93.39031664467329,92.88113517110759,0.8695949068954832,0.6401416934056835,0.7630002687322752,0.8686394505229702,0.14,192,256.0,Adamax,77165.77118913666,0.76,77.16577118913666,67.1745642227878,20,High,Low,Strict,High
2013,8,Model_76,7.0,Reinforcement,111.1680695453085,98.4381935901645,0.6970601511953006,0.7122585501875636,0.8881142948992865,0.6953833227227272,0.29,385,128.0,RMSprop,112.3519213936691,0.58,0.1123519213936691,72.8001219517068,0,High,High,Moderate,High
2017,3,Model_17,7.0,Reinforcement,849.72139996242,29.50709686875279,0.7073632112995007,0.6762876216596694,0.6871526899885755,0.5910210775454601,0.19,404,128.0,Adamax,3349.538172552278,0.79,3.349538172552279,63.10725545749373,2,High,High,Strict,High
2016,1,Model_15,8.0,Reinforcement,379.1117506378851,25.24432928031989,0.650507593022042,0.6565379015246653,0.9536544909977707,0.8603855572337723,0.17,187,16.0,Adamax,9178.912562884685,0.65,9.178912562884685,64.390529129136,3,High,High,Strict,High
2021,1,Model_34,6.0,Unsupervised,593.6980270481874,8.944870421187233,0.8031866290400078,0.6545711653046175,0.9279815705818574,0.5997311202434141,0.16,201,32.0,Adam,52208.25033377648,0.96,52.20825033377648,83.09485054840253,20,Very High,Low,Moderate,Very High
2018,11,Model_80,7.0,Reinforcement,934.7162545197112,107.9642566806983,0.6570772080968362,0.8182020152575195,0.249365276531779,0.9561910093349539,0.23,79,64.0,Adam,8686.116759131122,0.65,8.686116759131123,64.31402247170031,4,High,High,Strict,High
2017,2,Model_4,4.0,Unsupervised,306.3755349116311,47.67165207533068,0.5800641687876009,0.5334423042511744,0.9506419250022349,0.8051608974588406,0.19,258,32.0,Adamax,4253.99386516605,0.65,4.253993865166049,51.25535793403569,2,Low,Moderate,Strict,Moderate
2014,6,Model_72,7.0,Reinforcement,553.5348623900254,51.4389698220151,0.778856070004738,0.6815808420930536,0.6579188273772465,0.5601369511335469,0.13,283,32.0,Adamax,604.7072593983547,0.54,0.6047072593983547,48.06648353813532,0,Low,Low,Very Strict,Low
2022,6,Model_98,2.0,Unsupervised,877.1689618094404,58.07026682570032,0.7182995102793234,0.5900227725057257,0.5365279823212156,0.8465493097072594,0.25,167,16.0,SGD,50394.67691991646,0.95,50.39467691991646,65.70309769951524,22,High,Low,Strict,High
2011,3,Model_89,5.0,Reinforcement,704.3440189680488,14.25455993868443,0.7562118013564217,0.4787421003845859,0.8902367341754175,0.772680040913741,0.13,412,128.0,SGD,529.1178601940679,0.48,0.5291178601940679,64.35521187547481,0,High,Low,Strict,High
2014,12,Model_79,3.0,Unsupervised,993.1531120297846,95.55782813662375,0.9741740291671018,0.7314827737707271,0.7321537965396202,0.7691056393767575,0.18,39,16.0,SGD,898.83970782927,0.6,0.8988397078292699,100.0,0,High,High,Flexible,High
2017,4,Model_28,7.0,Reinforcement,915.3931011190163,125.1906913241912,0.6379119798097305,0.8002077753942206,0.8718663809680766,0.878701145503801,0.21,154,128.0,Adamax,9451.104896869474,0.62,9.451104896869474,97.01440609722981,4,High,High,Flexible,High
2019,12,Model_73,5.0,Supervised,460.5017393855875,77.05964941903564,0.7337628831711902,0.9821317147592531,0.6479155376648434,0.6599867000529555,0.11,367,128.0,Adam,28554.84194316183,0.69,28.55484194316183,97.78178611939593,12,High,Low,Flexible,High
2018,2,Model_2,7.0,Supervised,756.1942890871754,38.80019687346628,0.6711248126657549,0.9931388450531257,0.8913947399589002,0.7305169991495104,0.24,454,16.0,RMSprop,5050.839772729314,0.71,5.050839772729314,85.12917843943379,3,High,High,Flexible,High
2021,2,Model_17,9.0,Unsupervised,780.8035109198221,14.7397112546871,0.6975588604711623,0.6756176862368225,0.6836035644145427,0.9842304881185274,0.11,132,16.0,Adam,37364.42671837409,0.8,37.36442671837409,82.62440458286709,17,High,Low,Moderate,Very High
2021,7,Model_58,6.0,Unsupervised,227.6783521519461,82.34385962733336,0.8277069808898709,0.512043951076435,0.8027575814882113,0.668340099979673,0.11,271,128.0,Adamax,59033.92935343183,0.9,59.03392935343183,66.64342984863987,22,High,Low,Strict,High
2021,1,Model_74,5.0,Reinforcement,290.6433891715074,53.60039411649634,0.7426131430571654,0.8039205860524431,0.6583837640001712,0.5875761690418614,0.19,155,128.0,SGD,55419.72067606647,0.83,55.41972067606647,67.33471226827712,21,High,Low,Strict,High
2022,7,Model_9,7.0,Unsupervised,821.3348404281751,8.615133195059206,0.668126782237225,1.0,0.4435419343751478,0.8046046902251678,0.19,23,256.0,RMSprop,67495.91961922587,0.95,67.49591961922587,71.75596870931166,25,High,Low,Moderate,High
2018,12,Model_31,1.0,Unsupervised,72.16588235678597,8.157899635226043,0.5812940074714676,0.8076790943921212,0.6666379741910209,0.7414013425642427,0.16,495,128.0,Adam,9409.07819315723,0.71,9.40907819315723,84.63636775527216,4,High,High,Moderate,High
